日期,收盘,开盘,高,低,交易量,涨跌幅
2023/12/29,3439.80 ,3430.00 ,3449.40 ,3423.20 ,63.81K,0.26%
2023/12/28,3431.00 ,3339.00 ,3441.40 ,3338.00 ,88.01K,2.61%
2023/12/27,3343.80 ,3342.00 ,3351.80 ,3317.20 ,59.28K,0.31%
2023/12/26,3333.40 ,3357.40 ,3358.00 ,3322.60 ,51.25K,-0.69%
2023/12/25,3356.60 ,3346.40 ,3366.00 ,3343.40 ,45.11K,0.28%
2023/12/22,3347.20 ,3340.00 ,3374.60 ,3323.00 ,82.26K,0.05%
2023/12/21,3345.40 ,3296.00 ,3358.00 ,3291.40 ,84.08K,0.93%
2023/12/20,3314.60 ,3347.00 ,3351.60 ,3305.20 ,59.14K,-0.51%
2023/12/19,3331.60 ,3331.80 ,3355.00 ,3317.00 ,58.60K,0.02%
2023/12/18,3331.00 ,3328.00 ,3353.20 ,3303.40 ,63.51K,-0.46%
2023/12/15,3346.50 ,3375.20 ,3393.00 ,3342.40 ,34.61K,-0.38%
2023/12/14,3359.20 ,3388.80 ,3402.00 ,3349.40 ,55.42K,-0.46%
2023/12/13,3374.60 ,3415.20 ,3417.60 ,3365.20 ,62.45K,-1.46%
2023/12/12,3424.60 ,3412.80 ,3430.00 ,3407.40 ,65.87K,0.27%
2023/12/11,3415.40 ,3373.00 ,3433.60 ,3341.40 ,85.44K,0.55%
2023/12/8,3396.80 ,3389.40 ,3408.80 ,3382.20 ,61.42K,0.16%
2023/12/7,3391.40 ,3380.80 ,3402.80 ,3361.00 ,70.74K,-0.14%
2023/12/6,3396.20 ,3379.00 ,3418.60 ,3370.80 ,75.22K,-0.09%
2023/12/5,3399.20 ,3450.60 ,3451.00 ,3376.00 ,84.66K,-1.83%
2023/12/4,3462.60 ,3485.00 ,3492.80 ,3457.40 ,59.58K,-0.73%
2023/12/1,3488.20 ,3497.00 ,3500.00 ,3455.60 ,73.41K,-0.38%
2023/11/30,3501.40 ,3496.00 ,3512.00 ,3486.20 ,57.06K,0.28%
2023/11/29,3491.60 ,3529.00 ,3529.00 ,3483.00 ,57.86K,-0.81%
2023/11/28,3520.00 ,3511.40 ,3527.60 ,3501.40 ,53.96K,0.17%
2023/11/27,3514.00 ,3539.00 ,3541.00 ,3492.60 ,64.05K,-0.78%
2023/11/24,3541.60 ,3562.00 ,3564.40 ,3534.40 ,60.67K,-0.75%
2023/11/23,3568.20 ,3547.00 ,3573.00 ,3533.40 ,67.97K,0.35%
2023/11/22,3555.60 ,3577.20 ,3585.40 ,3548.60 ,60.64K,-0.95%
2023/11/21,3589.80 ,3598.00 ,3626.80 ,3579.40 ,85.15K,0.23%
2023/11/20,3581.60 ,3574.80 ,3594.80 ,3543.40 ,71.13K,0.64%
2023/11/17,3558.80 ,3566.00 ,3573.40 ,3547.40 ,18.68K,-0.58%
2023/11/16,3579.40 ,3600.20 ,3610.40 ,3572.60 ,34.44K,-0.75%
2023/11/15,3606.60 ,3622.60 ,3627.80 ,3597.20 ,47.79K,0.70%
2023/11/14,3581.60 ,3591.80 ,3606.00 ,3571.00 ,51.75K,0.06%
2023/11/13,3579.40 ,3593.00 ,3601.60 ,3561.80 ,46.85K,-0.25%
2023/11/10,3588.40 ,3600.20 ,3603.60 ,3577.40 ,48.30K,-0.74%
2023/11/9,3615.00 ,3607.20 ,3632.00 ,3603.80 ,49.53K,0.27%
2023/11/8,3605.40 ,3615.00 ,3633.00 ,3593.60 ,53.35K,-0.67%
2023/11/7,3629.80 ,3628.00 ,3638.00 ,3612.00 ,46.16K,-0.12%
2023/11/6,3634.00 ,3613.80 ,3643.00 ,3610.40 ,59.22K,1.14%
2023/11/3,3593.20 ,3568.20 ,3606.80 ,3565.20 ,58.33K,0.82%
2023/11/2,3563.80 ,3588.40 ,3605.60 ,3558.60 ,47.57K,-0.39%
2023/11/1,3577.60 ,3601.80 ,3603.60 ,3565.20 ,50.48K,0.03%
2023/10/31,3576.40 ,3582.00 ,3587.00 ,3558.20 ,47.16K,-0.43%
2023/10/30,3591.80 ,3561.20 ,3600.60 ,3561.00 ,60.59K,0.42%
2023/10/27,3576.60 ,3509.20 ,3587.80 ,3502.40 ,75.27K,1.78%
2023/10/26,3514.00 ,3492.20 ,3525.80 ,3486.20 ,61.28K,0.11%
2023/10/25,3510.20 ,3528.00 ,3542.00 ,3503.40 ,64.49K,0.55%
2023/10/24,3491.00 ,3480.00 ,3502.80 ,3453.80 ,76.04K,0.78%
2023/10/23,3464.00 ,3508.00 ,3512.80 ,3448.80 ,69.15K,-1.30%
2023/10/20,3509.60 ,3520.00 ,3536.20 ,3503.00 ,29.59K,-0.99%
2023/10/19,3544.60 ,3588.20 ,3596.20 ,3531.80 ,52.22K,-1.95%
2023/10/18,3615.00 ,3637.00 ,3639.00 ,3610.00 ,53.36K,-0.63%
2023/10/17,3637.80 ,3633.80 ,3649.80 ,3622.80 ,50.40K,0.31%
2023/10/16,3626.40 ,3675.00 ,3677.40 ,3617.20 ,53.54K,-1.15%
2023/10/13,3668.60 ,3684.00 ,3686.00 ,3661.80 ,47.54K,-1.07%
2023/10/12,3708.20 ,3707.00 ,3723.20 ,3688.20 ,62.43K,1.02%
